Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
14/05/2023,ABC,1x2,Botafogo SP,49.7 %,28.0 %,22.3 %
14/05/2023,Ituano,1x1,Sport,29.6 %,27.2 %,43.2 %
19/05/2023,Mirassol,2x0,Vitória,48.5 %,26.0 %,25.6 %
19/05/2023,Atlético GO,0x0,Avaí,62.8 %,19.8 %,17.4 %
19/05/2023,Tombense,0x2,Londrina,54.0 %,25.5 %,20.4 %
20/05/2023,Sport,3x0,Botafogo SP,68.4 %,19.7 %,11.9 %
20/05/2023,Ituano,0x2,Grêmio Novorizontino,47.3 %,29.5 %,23.2 %
20/05/2023,Sampaio Corrêa,1x0,ABC,42.4 %,28.9 %,28.7 %
21/05/2023,Ponte Preta,1x1,Guarani,19.8 %,28.4 %,51.9 %
21/05/2023,Criciúma,1x2,Ceará,46.5 %,29.4 %,24.0 %
21/05/2023,Chapecoense,0x2,Juventude,60.6 %,23.6 %,15.7 %
21/05/2023,CRB,0x3,Vila Nova GO,49.8 %,33.7 %,16.4 %
23/05/2023,Botafogo SP,1x0,Mirassol,33.7 %,28.0 %,38.3 %
23/05/2023,Grêmio Novorizontino,2x0,Avaí,60.9 %,23.8 %,15.4 %
23/05/2023,ABC,1x0,Tombense,45.3 %,27.3 %,27.4 %
24/05/2023,Guarani,3x3,Chapecoense,57.8 %,25.6 %,16.6 %
24/05/2023,Vila Nova GO,1x0,Ituano,44.8 %,36.4 %,18.8 %
24/05/2023,Criciúma,1x0,Sport,35.0 %,28.6 %,36.4 %
24/05/2023,Vitória,1x0,CRB,45.3 %,25.9 %,28.7 %
24/05/2023,Sampaio Corrêa,0x0,Ponte Preta,44.1 %,27.8 %,28.2 %
24/05/2023,Juventude,3x0,Atlético GO,32.1 %,24.7 %,43.2 %
24/05/2023,Londrina,1x3,Ceará,27.0 %,28.9 %,44.2 %
27/05/2023,Atlético GO,1x1,Botafogo SP,57.1 %,22.3 %,20.6 %
27/05/2023,Avaí,1x1,Vitória,39.7 %,25.9 %,34.4 %
27/05/2023,Ituano,3x1,Londrina,59.0 %,27.8 %,13.2 %
27/05/2023,CRB,1x2,Juventude,49.8 %,26.9 %,23.3 %
28/05/2023,Ponte Preta,1x0,Vila Nova GO,33.4 %,38.7 %,27.9 %
28/05/2023,Mirassol,1x0,Criciúma,40.7 %,33.1 %,26.2 %
28/05/2023,Sport,4x1,ABC,71.9 %,20.4 %,7.7 %
28/05/2023,Ceará,0x3,Grêmio Novorizontino,49.9 %,26.5 %,23.6 %
28/05/2023,Tombense,1x1,Guarani,32.3 %,25.8 %,42.0 %
29/05/2023,Chapecoense,0x1,Sampaio Corrêa,52.1 %,25.2 %,22.7 %
02/06/2023,Criciúma,3x0,Atlético GO,50.7 %,26.4 %,22.9 %
02/06/2023,Botafogo SP,0x0,Tombense,49.8 %,25.0 %,25.2 %
02/06/2023,Vitória,3x0,Ituano,42.5 %,28.0 %,29.5 %
02/06/2023,Ceará,2x0,Chapecoense,58.5 %,23.1 %,18.4 %
03/06/2023,Vila Nova GO,3x0,Sampaio Corrêa,53.4 %,32.1 %,14.5 %
03/06/2023,Mirassol,1x0,Ponte Preta,56.8 %,28.9 %,14.3 %
03/06/2023,Juventude,3x2,Avaí,53.7 %,24.7 %,21.6 %
03/06/2023,ABC,0x1,Grêmio Novorizontino,23.9 %,29.7 %,46.4 %
04/06/2023,Guarani,0x1,CRB,57.1 %,25.1 %,17.7 %
04/06/2023,Londrina,1x2,Sport,17.3 %,23.1 %,59.6 %
06/06/2023,Ponte Preta,0x0,ABC,48.8 %,31.6 %,19.6 %
06/06/2023,Atlético GO,0x3,Ceará,40.4 %,24.1 %,35.5 %
06/06/2023,Botafogo SP,0x2,Ituano,40.8 %,29.6 %,29.6 %
06/06/2023,Chapecoense,0x1,Vila Nova GO,35.1 %,32.8 %,32.1 %
06/06/2023,Tombense,1x2,Vitória,38.2 %,25.9 %,35.8 %
07/06/2023,Grêmio Novorizontino,1x0,Guarani,58.1 %,26.1 %,15.9 %
07/06/2023,Sport,2x1,Avaí,76.2 %,15.8 %,7.9 %
07/06/2023,Sampaio Corrêa,2x0,Londrina,50.5 %,26.9 %,22.6 %
07/06/2023,CRB,2x0,Mirassol,39.1 %,30.7 %,30.2 %
08/06/2023,Criciúma,0x1,Juventude,59.5 %,25.7 %,14.8 %
09/06/2023,ABC,1x1,Chapecoense,47.2 %,28.6 %,24.2 %
10/06/2023,Vila Nova GO,0x0,Guarani,44.6 %,34.2 %,21.3 %
10/06/2023,Ituano,1x1,Atlético GO,49.7 %,25.0 %,25.3 %
10/06/2023,Grêmio Novorizontino,1x0,Sampaio Corrêa,71.8 %,21.0 %,7.2 %
10/06/2023,Ceará,1x3,CRB,59.2 %,23.7 %,17.1 %
11/06/2023,Ponte Preta,1x1,Sport,20.3 %,26.3 %,53.4 %
11/06/2023,Avaí,1x1,Botafogo SP,46.3 %,26.3 %,27.5 %
11/06/2023,Vitória,0x1,Criciúma,41.5 %,29.8 %,28.7 %
11/06/2023,Juventude,1x2,Tombense,55.1 %,23.9 %,21.0 %
11/06/2023,Londrina,1x2,Mirassol,27.3 %,30.4 %,42.3 %
18/06/2023,Sport,1x0,Vila Nova GO,64.2 %,25.0 %,10.8 %
21/06/2023,CRB,2x2,Ituano,47.5 %,28.4 %,24.1 %
22/06/2023,Sport,3x0,Juventude,69.2 %,18.9 %,11.9 %
23/06/2023,Atlético GO,1x0,Ponte Preta,49.3 %,26.9 %,23.8 %
24/06/2023,Avaí,0x0,Londrina,52.1 %,25.0 %,22.9 %
24/06/2023,Botafogo SP,0x3,Vila Nova GO,27.8 %,36.6 %,35.7 %
24/06/2023,Chapecoense,1x1,Criciúma,29.2 %,31.8 %,39.0 %
24/06/2023,Tombense,1x2,Grêmio Novorizontino,22.1 %,27.8 %,50.1 %
25/06/2023,Guarani,2x0,Vitória,49.6 %,26.6 %,23.7 %
25/06/2023,Mirassol,3x2,ABC,56.6 %,28.6 %,14.8 %
25/06/2023,Sampaio Corrêa,1x1,Ceará,30.1 %,25.7 %,44.2 %
27/06/2023,Vila Nova GO,1x0,Tombense,64.0 %,26.0 %,10.0 %
27/06/2023,Criciúma,2x1,CRB,54.8 %,29.0 %,16.2 %
27/06/2023,Grêmio Novorizontino,0x1,Botafogo SP,77.9 %,18.6 %,3.5 %
27/06/2023,Chapecoense,1x1,Sport,22.3 %,23.7 %,54.0 %
28/06/2023,Guarani,2x1,Mirassol,50.8 %,28.2 %,21.1 %
28/06/2023,Ituano,0x1,Ponte Preta,51.6 %,31.4 %,17.0 %
28/06/2023,Vitória,2x1,Sampaio Corrêa,56.1 %,24.6 %,19.4 %
28/06/2023,Ceará,0x0,Avaí,67.0 %,20.2 %,12.8 %
28/06/2023,Londrina,1x2,Juventude,35.6 %,27.9 %,36.6 %
28/06/2023,ABC,1x1,Atlético GO,43.4 %,26.0 %,30.5 %
30/06/2023,Tombense,4x2,Chapecoense,43.1 %,26.4 %,30.6 %
01/07/2023,Atlético GO,1x1,Vila Nova GO,25.3 %,29.5 %,45.1 %
01/07/2023,Avaí,0x2,ABC,41.4 %,29.4 %,29.2 %
01/07/2023,Sampaio Corrêa,0x2,Criciúma,26.4 %,31.6 %,42.0 %
01/07/2023,CRB,2x1,Londrina,64.3 %,23.0 %,12.8 %
02/07/2023,Ponte Preta,1x0,Grêmio Novorizontino,24.1 %,37.6 %,38.3 %
02/07/2023,Sport,2x0,Ceará,60.3 %,21.7 %,18.0 %
02/07/2023,Juventude,1x0,Vitória,42.3 %,25.5 %,32.3 %
03/07/2023,Botafogo SP,1x0,Guarani,28.0 %,29.3 %,42.7 %
03/07/2023,Mirassol,0x1,Ituano,51.1 %,27.3 %,21.6 %
05/07/2023,CRB,2x0,Sport,26.9 %,24.4 %,48.7 %
07/07/2023,Grêmio Novorizontino,2x2,Atlético GO,61.0 %,23.7 %,15.3 %
07/07/2023,Ceará,3x0,Botafogo SP,63.0 %,23.2 %,13.9 %
08/07/2023,Avaí,0x1,Ponte Preta,32.8 %,33.6 %,33.6 %
08/07/2023,Ituano,1x1,Juventude,49.1 %,27.1 %,23.8 %
08/07/2023,Tombense,0x1,Sampaio Corrêa,49.5 %,24.8 %,25.7 %
08/07/2023,ABC,0x1,Criciúma,28.0 %,34.2 %,37.8 %
08/07/2023,Guarani,2x1,Londrina,71.6 %,21.3 %,7.1 %
09/07/2023,Chapecoense,2x1,CRB,39.1 %,26.3 %,34.6 %
09/07/2023,Sport,0x0,Mirassol,67.5 %,20.6 %,11.9 %
10/07/2023,Vila Nova GO,1x0,Vitória,53.8 %,30.3 %,15.9 %
13/07/2023,Criciúma,1x1,Guarani,51.9 %,31.1 %,17.0 %
14/07/2023,Atlético GO,3x1,Sport,29.1 %,23.4 %,47.5 %
14/07/2023,Sampaio Corrêa,0x0,Ituano,37.3 %,29.8 %,32.9 %
15/07/2023,Ponte Preta,0x1,Tombense,55.6 %,27.7 %,16.7 %
15/07/2023,Juventude,1x1,ABC,50.0 %,27.3 %,22.7 %
15/07/2023,Londrina,1x0,Vila Nova GO,17.1 %,33.2 %,49.7 %
16/07/2023,Mirassol,1x1,Ceará,39.8 %,27.9 %,32.3 %
16/07/2023,Vitória,2x1,Grêmio Novorizontino,35.1 %,29.1 %,35.8 %
17/07/2023,Botafogo SP,1x0,Criciúma,20.5 %,32.2 %,47.2 %
18/07/2023,Ponte Preta,0x0,Juventude,46.1 %,32.0 %,21.8 %
18/07/2023,Chapecoense,1x0,Ituano,42.5 %,28.1 %,29.4 %
18/07/2023,Tombense,2x1,CRB,39.4 %,25.7 %,34.9 %
19/07/2023,Atlético GO,2x2,Mirassol,47.4 %,25.2 %,27.4 %
19/07/2023,Avaí,2x0,Sampaio Corrêa,43.2 %,29.0 %,27.8 %
19/07/2023,Grêmio Novorizontino,3x0,Londrina,72.5 %,20.6 %,6.9 %
19/07/2023,Sport,1x2,Vitória,63.7 %,21.1 %,15.3 %
19/07/2023,Ceará,1x0,Vila Nova GO,47.1 %,31.9 %,21.0 %
19/07/2023,ABC,0x1,Guarani,33.9 %,30.2 %,35.9 %
21/07/2023,CRB,1x0,Ponte Preta,50.3 %,31.7 %,18.0 %
22/07/2023,Vila Nova GO,1x1,ABC,60.5 %,32.8 %,6.6 %
22/07/2023,Criciúma,0x1,Grêmio Novorizontino,44.4 %,33.5 %,22.1 %
22/07/2023,Ituano,0x1,Avaí,57.6 %,27.0 %,15.4 %
22/07/2023,Mirassol,2x0,Tombense,55.3 %,24.8 %,19.9 %
23/07/2023,Guarani,1x0,Atlético GO,54.4 %,23.4 %,22.3 %
23/07/2023,Sampaio Corrêa,1x2,Sport,21.9 %,25.2 %,52.9 %
23/07/2023,Juventude,1x0,Ceará,37.0 %,26.8 %,36.2 %
24/07/2023,Vitória,1x0,Chapecoense,53.9 %,24.1 %,22.0 %
24/07/2023,Londrina,1x2,Botafogo SP,38.8 %,28.6 %,32.6 %
28/07/2023,Sport,2x0,CRB,62.8 %,21.4 %,15.9 %
28/07/2023,Ceará,1x1,Ituano,57.7 %,26.1 %,16.2 %
29/07/2023,Atlético GO,2x2,Sampaio Corrêa,59.7 %,22.4 %,17.9 %
29/07/2023,Avaí,1x2,Guarani,28.3 %,29.7 %,42.0 %
29/07/2023,Botafogo SP,0x2,Juventude,39.9 %,28.8 %,31.3 %
29/07/2023,Chapecoense,0x1,Mirassol,39.6 %,28.3 %,32.1 %
29/07/2023,ABC,0x0,Londrina,60.5 %,24.7 %,14.8 %
30/07/2023,Ponte Preta,2x2,Vitória,36.6 %,34.2 %,29.2 %
30/07/2023,Grêmio Novorizontino,3x1,Vila Nova GO,53.9 %,34.2 %,11.9 %
30/07/2023,Tombense,2x2,Criciúma,28.3 %,29.9 %,41.8 %
01/08/2023,Mirassol,2x2,Avaí,61.5 %,25.4 %,13.0 %
01/08/2023,Sampaio Corrêa,0x0,Botafogo SP,44.8 %,29.1 %,26.1 %
01/08/2023,CRB,2x1,Atlético GO,47.8 %,23.7 %,28.6 %
02/08/2023,Guarani,0x0,Ceará,49.0 %,27.3 %,23.7 %
02/08/2023,Vila Nova GO,0x1,Sport,32.2 %,31.0 %,36.8 %
02/08/2023,Criciúma,2x1,Ponte Preta,62.0 %,34.7 %,3.3 %
02/08/2023,Ituano,1x0,Tombense,52.6 %,26.1 %,21.3 %
02/08/2023,Vitória,2x0,ABC,56.3 %,25.8 %,17.9 %
02/08/2023,Juventude,1x0,Grêmio Novorizontino,31.9 %,28.5 %,39.6 %
02/08/2023,Londrina,1x1,Chapecoense,35.0 %,27.8 %,37.2 %
04/08/2023,Mirassol,0x0,Sampaio Corrêa,62.2 %,25.4 %,12.4 %
05/08/2023,Ituano,1x1,Guarani,33.2 %,33.7 %,33.1 %
05/08/2023,Sport,1x0,Grêmio Novorizontino,51.4 %,25.5 %,23.1 %
05/08/2023,CRB,0x0,Botafogo SP,57.4 %,25.8 %,16.8 %
05/08/2023,Avaí,1x0,Criciúma,26.9 %,30.8 %,42.3 %
06/08/2023,Ponte Preta,1x0,Chapecoense,47.1 %,31.3 %,21.6 %
06/08/2023,Ceará,1x0,ABC,61.8 %,25.0 %,13.2 %
07/08/2023,Atlético GO,3x2,Tombense,55.2 %,21.5 %,23.2 %
07/08/2023,Juventude,0x2,Vila Nova GO,42.1 %,34.4 %,23.5 %
07/08/2023,Londrina,2x0,Vitória,26.6 %,26.0 %,47.4 %
11/08/2023,Grêmio Novorizontino,2x1,Mirassol,59.3 %,26.9 %,13.7 %
11/08/2023,Tombense,0x0,Sport,24.5 %,23.1 %,52.4 %
12/08/2023,Vila Nova GO,1x1,Avaí,63.0 %,27.8 %,9.2 %
12/08/2023,Criciúma,2x0,Londrina,72.1 %,22.4 %,5.5 %
12/08/2023,Botafogo SP,0x0,Ponte Preta,39.1 %,37.3 %,23.5 %
12/08/2023,Sampaio Corrêa,1x1,CRB,35.3 %,29.7 %,35.0 %
13/08/2023,Guarani,0x1,Juventude,56.8 %,26.7 %,16.6 %
13/08/2023,Vitória,1x0,Ceará,42.3 %,26.5 %,31.2 %
13/08/2023,Chapecoense,0x1,Atlético GO,42.3 %,24.0 %,33.7 %
14/08/2023,ABC,1x1,Ituano,40.6 %,33.8 %,25.6 %
